"Table 11. Methamphetamine Use in the Past Year: Among People Aged 12 or Older; by Age Group and State, Percentages, 2021","","","","","","","","","","","","","","","",""
"* = low precision; no estimate reported.","","","","","","","","","","","","","","","",""
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes small area estimation approach and generated by Markov Chain Monte Carlo techniques. For the “Total U.S.” row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.","","","","","","","","","","","","","","","",""
"NOTE: The column labeled “Order” can be used to sort the data to the original sort order.","","","","","","","","","","","","","","","",""
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2021.","","","","","","","","","","","","","","","",""
"Order","State","12+ Estimate","12+ 95% CI (Lower)","12+ 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26+ Estimate","26+ 95% CI (Lower)","26+ 95% CI (Upper)","18+ Estimate","18+ 95% CI (Lower)","18+ 95% CI (Upper)"
"32","Montana","1.42%","0.72%","2.78%","0.33%","0.08%","1.27%","1.49%","0.51%","4.24%","1.53%","0.73%","3.16%","1.52%","0.76%","3.02%"
"33","Nebraska","1.11%","0.61%","2.03%","0.25%","0.08%","0.73%","0.43%","0.17%","1.10%","1.35%","0.71%","2.54%","1.21%","0.65%","2.24%"
"34","Nevada","2.02%","1.15%","3.54%","0.17%","0.05%","0.56%","1.51%","0.64%","3.50%","2.31%","1.26%","4.18%","2.21%","1.25%","3.89%"
"35","New Hampshire","0.62%","0.29%","1.31%","0.03%","0.00%","0.23%","0.51%","0.19%","1.35%","0.69%","0.31%","1.53%","0.67%","0.31%","1.42%"
"36","New Jersey","0.81%","0.40%","1.63%","0.10%","0.03%","0.36%","0.36%","0.13%","0.99%","0.95%","0.46%","1.97%","0.88%","0.43%","1.78%"
"37","New Mexico","1.45%","0.74%","2.82%","0.13%","0.03%","0.53%","1.27%","0.49%","3.27%","1.64%","0.80%","3.36%","1.59%","0.81%","3.11%"
"38","New York","0.55%","0.29%","1.04%","0.18%","0.06%","0.53%","0.57%","0.24%","1.34%","0.59%","0.29%","1.21%","0.59%","0.31%","1.12%"
"39","North Carolina","0.82%","0.43%","1.55%","0.10%","0.03%","0.36%","0.36%","0.13%","0.98%","0.97%","0.50%","1.90%","0.89%","0.47%","1.71%"
"40","North Dakota","1.13%","0.57%","2.24%","0.18%","0.06%","0.55%","0.48%","0.16%","1.42%","1.37%","0.66%","2.83%","1.23%","0.62%","2.46%"
"41","Ohio","0.90%","0.52%","1.56%","0.07%","0.02%","0.28%","0.46%","0.18%","1.16%","1.06%","0.60%","1.88%","0.98%","0.56%","1.71%"
"42","Oklahoma","1.32%","0.72%","2.40%","0.18%","0.06%","0.53%","0.57%","0.23%","1.43%","1.59%","0.85%","2.98%","1.45%","0.78%","2.66%"
"43","Oregon","0.76%","0.37%","1.55%","0.10%","0.03%","0.33%","0.43%","0.16%","1.20%","0.87%","0.41%","1.85%","0.82%","0.40%","1.69%"
"44","Pennsylvania","0.70%","0.39%","1.24%","0.05%","0.01%","0.25%","0.47%","0.19%","1.18%","0.80%","0.44%","1.46%","0.76%","0.42%","1.35%"
"45","Rhode Island","0.76%","0.37%","1.57%","*","*","*","0.76%","0.27%","2.11%","0.84%","0.38%","1.83%","0.82%","0.40%","1.70%"
"46","South Carolina","1.32%","0.69%","2.54%","0.11%","0.03%","0.44%","0.44%","0.17%","1.16%","1.59%","0.80%","3.12%","1.44%","0.74%","2.78%"
"47","South Dakota","1.21%","0.65%","2.24%","0.34%","0.11%","1.04%","0.60%","0.22%","1.65%","1.42%","0.72%","2.76%","1.31%","0.69%","2.47%"
"48","Tennessee","1.74%","0.91%","3.33%","0.10%","0.03%","0.36%","0.89%","0.37%","2.14%","2.06%","1.04%","4.06%","1.91%","0.99%","3.66%"
"49","Texas","0.84%","0.50%","1.39%","0.19%","0.06%","0.56%","0.45%","0.19%","1.04%","0.99%","0.58%","1.70%","0.91%","0.54%","1.53%"
"50","Utah","0.87%","0.49%","1.57%","0.10%","0.03%","0.33%","0.48%","0.19%","1.20%","1.09%","0.58%","2.05%","0.99%","0.54%","1.78%"
"51","Vermont","0.54%","0.27%","1.09%","0.06%","0.01%","0.27%","0.81%","0.31%","2.12%","0.54%","0.24%","1.21%","0.58%","0.28%","1.18%"
"52","Virginia","0.62%","0.31%","1.24%","0.11%","0.03%","0.39%","0.30%","0.11%","0.84%","0.73%","0.35%","1.53%","0.67%","0.33%","1.35%"
"53","Washington","0.68%","0.33%","1.39%","0.09%","0.03%","0.33%","0.41%","0.14%","1.15%","0.78%","0.37%","1.66%","0.74%","0.36%","1.52%"
"54","West Virginia","1.23%","0.63%","2.38%","0.03%","0.00%","0.24%","0.79%","0.33%","1.87%","1.41%","0.70%","2.85%","1.34%","0.68%","2.60%"
"55","Wisconsin","0.66%","0.33%","1.32%","0.08%","0.02%","0.29%","0.60%","0.22%","1.59%","0.74%","0.35%","1.56%","0.72%","0.36%","1.45%"
"56","Wyoming","1.33%","0.71%","2.49%","0.18%","0.06%","0.57%","1.08%","0.41%","2.83%","1.52%","0.77%","2.98%","1.46%","0.77%","2.74%"
